Price,Year,Mileage,State,Make
25866,2017,13562, IN,Chrysler
18800,2015,45629, MD,Toyota
44999,2015,27755, WA,Ford
27900,2016,11281, TX,Ram
38999,2008,72991, WA,Dodge
11899,2014,97816, MA,Jeep
18993,2016,24893, TX,Kia
17277,2016,8529, AZ,Volkswagen
22888,2014,38684, LA,Chevrolet
16951,2014,31639, CA,Toyota
42611,2008,53373, OR,GMC
9999,2013,67264, FL,Hyundai
33950,2015,37555, MO,Lexus
29990,2015,21294, FL,Lexus
16995,2016,26455, OR,Jeep
20990,2011,63830, PA,BMW
9491,2013,106937, AL,Nissan
10574,2004,171756, CO,Chevrolet
8999,2009,96197, WA,Toyota
25769,2015,49391, TX,Chevrolet
10695,2014,27831, PA,Nissan
36890,2014,33161, NJ,Lincoln
13695,2011,96492, SC,Mazda
17985,2016,40481, IL,Ford
10995,2012,111777, CA,Toyota
15400,2009,101945, VA,Ford
32990,2016,17385, NC,Chevrolet
35641,2014,15765, FL,Chevrolet
48888,2015,58290, FL,Cadillac
129995,2012,24417, NC,Bentley
43990,2015,50254, TX,INFINITI
5329,2004,129103, NE,Nissan
49999,2015,27124, TX,Chevrolet
19477,2013,49124, IN,GMC
38498,2017,4460, MA,BMW
11981,2014,73223, NC,Kia
14590,2014,86361, CO,Chevrolet
34874,2014,64438, AL,GMC
10988,2014,66779, CA,Nissan
3995,2003,100473, CO,Mazda
17998,2014,13966, CA,Mazda
14786,2015,19261, FL,Honda
21963,2014,54235, CA,Ford
8500,2012,78085, MD,Hyundai
15900,2015,75083, MS,Ford
26999,2014,86852, CO,Chevrolet
52180,2017,16760, UT,Chevrolet
11670,2011,141738, CA,Toyota
13178,2014,26255, FL,Nissan
5965,2005,96653, IN,Chrysler
45975,2017,3375, TX,Lexus
25995,2014,29543, CA,Toyota
8000,2005,118889, VA,Jeep
13500,2013,38049, WI,Toyota
18995,2016,14087, NE,Ford
19977,2014,40226, KY,Toyota
30629,2016,39163, NY,Chevrolet
28973,2014,12465, MI,Cadillac
21798,2016,13412, CT,Honda
15800,2014,70750, OH,Nissan
10692,2011,84199, TX,Nissan
5585,2003,146009, GA,Chevrolet
48500,2016,11000, PA,Chevrolet
29767,2017,6126, CO,Cadillac
17999,2016,38332, FL,Chrysler
31185,2016,38839, CO,Jeep
16195,2013,33520, CA,Acura
5995,2006,104397, NJ,Honda
6995,2013,103445, NE,Chevrolet
12998,2014,37367, PA,Kia
12788,2015,41126, IL,Chrysler
18365,2014,59171, NJ,Honda
17698,2012,53663, IL,Nissan
22900,2017,27445, CA,Ford
3700,2002,144819, GA,Volkswagen
55148,2017,619, KS,Mercedes-Benz
17500,2016,13834, NJ,Volkswagen
26897,2014,70468, NJ,BMW
12000,2007,71021, IA,Ford
19455,2017,26239, TX,Honda
7981,2012,90710, FL,Mazda
12554,2011,103909, IN,GMC
21389,2016,5772, FL,Ford
17995,2014,62075, CA,Toyota
37999,2016,6001, CA,BMW
18500,2013,94093, VA,Ford
11750,2003,113112, CT,Jeep
29995,2016,37501, PA,Lincoln
41720,2016,14167, TX,Toyota
6998,2007,147450, CA,BMW
64995,2017,9658, SD,Ram
9800,2010,98422, OH,Volvo
18493,2016,40200, CT,Ford
18995,2016,23702, FL,Hyundai
17991,2016,23537, NY,Buick
10521,2011,73939, CO,Mitsubishi
12500,2011,64739, KS,Nissan
26345,2013,59751, ND,GMC
34998,2016,15, CA,Chevrolet
52777,2017,19444, OR,Chevrolet
12999,2016,44163, UT,Hyundai
25999,2016,5278, VA,Nissan
16977,2013,59000, MA,Honda
12845,2016,33799, CA,Chrysler
37397,2014,19000, NV,Audi
5999,2003,211339, MO,Ford
8999,2000,129115, TX,Chevrolet
16716,2013,29232, ID,Ford
18950,2013,17778, NY,Honda
12756,2012,95798, MO,Kia
15999,2014,93828, WA,Ford
28259,2015,21243, MI,Chevrolet
11995,2014,50057, TN,Dodge
24998,2016,24906, CA,Hyundai
5994,2006,152488, OH,Jeep
20000,2017,25042, Va,Jeep
23097,2015,30719, PA,Honda
62900,2014,27952, CA,Mercedes-Benz
13999,2015,74915, WI,Dodge
56995,2017,20620, SC,Ram
15995,2014,43023, PA,Hyundai
29999,2014,22608, GA,Mercedes-Benz
15425,2017,21010, WA,Chevrolet
16997,2012,78871, AL,BMW
13995,2009,103493, WA,INFINITI
22990,2013,29615, TX,Lexus
19517,2015,29232, MO,Jeep
13900,2014,61481, NC,Toyota
25995,2010,21065, IL,Lexus
